[ 2025-05-28 16:00:47,508] 19 root - INFO - Initiate the data ingestion
[ 2025-05-28 16:01:02,114] 65 root - INFO - Performed train test split on the dataframe
[ 2025-05-28 16:01:02,114] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-05-28 16:01:02,115] 75 root - INFO - Exporting train and test file path.
[ 2025-05-28 16:01:02,148] 84 root - INFO - Exported train and test file path.
[ 2025-05-28 16:01:02,148] 21 root - INFO - Data Initiation Completed
[ 2025-05-28 16:01:02,153] 25 root - INFO - Initiate the data Validation
[ 2025-05-28 16:01:02,225] 32 root - INFO - Required number of columns:2
[ 2025-05-28 16:01:02,227] 33 root - INFO - Data frame has columns:31
[ 2025-05-28 16:01:02,228] 32 root - INFO - Required number of columns:2
[ 2025-05-28 16:01:02,228] 33 root - INFO - Data frame has columns:31
[ 2025-05-28 16:01:02,324] 27 root - INFO - data Validation Completed
[ 2025-05-28 16:01:02,324] 30 root - INFO - data Transformation started
[ 2025-05-28 16:01:02,324] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-05-28 16:01:02,324] 65 root - INFO - Starting data transformation
[ 2025-05-28 16:01:02,342] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-05-28 16:01:02,342] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-05-28 16:01:02,352] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-28 16:01:02,354] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-28 16:01:02,354] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-28 16:01:02,356] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-28 16:01:02,357] 34 root - INFO - data Transformation completed
[ 2025-05-28 16:01:02,357] 36 root - INFO - Model Training stared
[ 2025-05-28 16:06:56,581] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-28 16:06:56,583] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-28 16:06:56,583] 105 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\05_28_2025_16_00_25\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9912494912494912, precision_score=0.9882329072834246, recall_score=0.9942845478669116), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9779005524861878, precision_score=0.9710031347962382, recall_score=0.9848966613672496))
[ 2025-05-28 16:06:56,587] 41 root - INFO - Model Training artifact created
