[ 2025-05-28 17:25:23,617] 19 root - INFO - Initiate the data ingestion
[ 2025-05-28 17:25:25,337] 65 root - INFO - Performed train test split on the dataframe
[ 2025-05-28 17:25:25,337] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-05-28 17:25:25,337] 75 root - INFO - Exporting train and test file path.
[ 2025-05-28 17:25:25,373] 84 root - INFO - Exported train and test file path.
[ 2025-05-28 17:25:25,373] 21 root - INFO - Data Initiation Completed
[ 2025-05-28 17:25:25,377] 25 root - INFO - Initiate the data Validation
[ 2025-05-28 17:25:25,451] 32 root - INFO - Required number of columns:2
[ 2025-05-28 17:25:25,454] 33 root - INFO - Data frame has columns:31
[ 2025-05-28 17:25:25,454] 32 root - INFO - Required number of columns:2
[ 2025-05-28 17:25:25,454] 33 root - INFO - Data frame has columns:31
[ 2025-05-28 17:25:25,592] 27 root - INFO - data Validation Completed
[ 2025-05-28 17:25:25,593] 30 root - INFO - data Transformation started
[ 2025-05-28 17:25:25,593] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-05-28 17:25:25,593] 65 root - INFO - Starting data transformation
[ 2025-05-28 17:25:25,607] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-05-28 17:25:25,607] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-05-28 17:25:25,619] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-28 17:25:25,621] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-28 17:25:25,621] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-28 17:25:25,623] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-28 17:25:25,623] 34 root - INFO - data Transformation completed
[ 2025-05-28 17:25:25,623] 36 root - INFO - Model Training stared
[ 2025-05-28 17:31:42,634] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-28 17:31:42,636] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-28 17:31:42,636] 124 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\05_28_2025_17_25_21\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9918223119636547, precision_score=0.9889269176565331, recall_score=0.9947347104090725), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9772172497965825, precision_score=0.9693301049233253, recall_score=0.985233798195242))
[ 2025-05-28 17:31:42,641] 41 root - INFO - Model Training artifact created
